ID,x,y,area_km2,proportion,x_y
30,151.65,-26.95,3.13809709,0.000811094,151.65_-26.95
31,151.65,-26.9,3.118712883,0.000806084,151.65_-26.9
50,151.7,-27,8.593106708,0.002221034,151.7_-27
51,151.7,-26.95,21.32408963,0.005511572,151.7_-26.95
52,151.7,-26.9,0.36716525,9.49001E-05,151.7_-26.9
69,151.75,-27.1,2.089874239,0.000540163,151.75_-27.1
70,151.75,-27.05,19.30884515,0.004990698,151.75_-27.05
71,151.75,-27,26.13171504,0.006754185,151.75_-27
72,151.75,-26.95,15.96161598,0.00412555,151.75_-26.95
89,151.8,-27.15,8.565523659,0.002213905,151.8_-27.15
90,151.8,-27.1,22.19726417,0.005737259,151.8_-27.1
91,151.8,-27.05,27.48250179,0.007103318,151.8_-27.05
92,151.8,-27,27.49447723,0.007106413,151.8_-27
93,151.8,-26.95,22.5020685,0.005816041,151.8_-26.95
94,151.8,-26.9,0.070975172,1.83447E-05,151.8_-26.9
109,151.85,-27.2,2.995586459,0.00077426,151.85_-27.2
110,151.85,-27.15,23.91982718,0.006182485,151.85_-27.15
111,151.85,-27.1,27.47050552,0.007100218,151.85_-27.1
112,151.85,-27.05,27.48250179,0.007103318,151.85_-27.05
113,151.85,-27,27.49447723,0.007106413,151.85_-27
114,151.85,-26.95,27.50643184,0.007109503,151.85_-26.95
115,151.85,-26.9,14.48317011,0.003743421,151.85_-26.9
129,151.9,-27.25,7.788961077,0.002013189,151.9_-27.25
130,151.9,-27.2,26.52933214,0.006856955,151.9_-27.2
131,151.9,-27.15,27.45848842,0.007097112,151.9_-27.15
132,151.9,-27.1,27.47050552,0.007100218,151.9_-27.1
133,151.9,-27.05,27.48250179,0.007103318,151.9_-27.05
134,151.9,-27,27.49447723,0.007106413,151.9_-27
135,151.9,-26.95,27.50643184,0.007109503,151.9_-26.95
136,151.9,-26.9,26.3784919,0.006817968,151.9_-26.9
137,151.9,-26.85,13.70401575,0.003542035,151.9_-26.85
138,151.9,-26.8,0.273838647,7.07782E-05,151.9_-26.8
150,151.95,-27.25,9.565764432,0.002472434,151.95_-27.25
151,151.95,-27.2,26.9220576,0.006958462,151.95_-27.2
152,151.95,-27.15,27.45848842,0.007097112,151.95_-27.15
153,151.95,-27.1,27.47050552,0.007100218,151.95_-27.1
154,151.95,-27.05,27.48250179,0.007103318,151.95_-27.05
155,151.95,-27,27.49447723,0.007106413,151.95_-27
156,151.95,-26.95,27.50643184,0.007109503,151.95_-26.95
157,151.95,-26.9,27.51836561,0.007112588,151.95_-26.9
158,151.95,-26.85,27.53027852,0.007115667,151.95_-26.85
159,151.95,-26.8,22.3612948,0.005779656,151.95_-26.8
160,151.95,-26.75,7.955481648,0.002056229,151.95_-26.75
172,152,-27.2,25.49012299,0.006588354,152_-27.2
173,152,-27.15,27.45848842,0.007097112,152_-27.15
174,152,-27.1,27.47050552,0.007100218,152_-27.1
175,152,-27.05,27.48250179,0.007103318,152_-27.05
176,152,-27,27.49447723,0.007106413,152_-27
177,152,-26.95,27.50643184,0.007109503,152_-26.95
178,152,-26.9,27.51836561,0.007112588,152_-26.9
179,152,-26.85,27.53027852,0.007115667,152_-26.85
180,152,-26.8,27.54217058,0.007118741,152_-26.8
181,152,-26.75,24.11942357,0.006234074,152_-26.75
182,152,-26.7,2.932951373,0.000758071,152_-26.7
193,152.05,-27.2,16.81588258,0.00434635,152.05_-27.2
194,152.05,-27.15,27.45848842,0.007097112,152.05_-27.15
195,152.05,-27.1,27.47050552,0.007100218,152.05_-27.1
196,152.05,-27.05,27.48250179,0.007103318,152.05_-27.05
197,152.05,-27,27.49447723,0.007106413,152.05_-27
198,152.05,-26.95,27.50643184,0.007109503,152.05_-26.95
199,152.05,-26.9,27.51836561,0.007112588,152.05_-26.9
200,152.05,-26.85,27.53027852,0.007115667,152.05_-26.85
201,152.05,-26.8,27.54217058,0.007118741,152.05_-26.8
202,152.05,-26.75,27.55404177,0.007121809,152.05_-26.75
203,152.05,-26.7,25.80845114,0.006670631,152.05_-26.7
204,152.05,-26.65,2.952942016,0.000763238,152.05_-26.65
213,152.1,-27.25,0.957003992,0.000247354,152.1_-27.25
214,152.1,-27.2,21.78825028,0.005631542,152.1_-27.2
215,152.1,-27.15,27.45848842,0.007097112,152.1_-27.15
216,152.1,-27.1,27.47050552,0.007100218,152.1_-27.1
217,152.1,-27.05,27.48250179,0.007103318,152.1_-27.05
218,152.1,-27,27.49447723,0.007106413,152.1_-27
219,152.1,-26.95,27.50643184,0.007109503,152.1_-26.95
220,152.1,-26.9,27.51836561,0.007112588,152.1_-26.9
221,152.1,-26.85,27.53027852,0.007115667,152.1_-26.85
222,152.1,-26.8,27.54217058,0.007118741,152.1_-26.8
223,152.1,-26.75,27.55404177,0.007121809,152.1_-26.75
224,152.1,-26.7,27.56589208,0.007124872,152.1_-26.7
225,152.1,-26.65,13.21684588,0.003416118,152.1_-26.65
234,152.15,-27.25,9.641506846,0.002492011,152.15_-27.25
235,152.15,-27.2,27.44645052,0.007094,152.15_-27.2
236,152.15,-27.15,27.45848842,0.007097112,152.15_-27.15
237,152.15,-27.1,27.47050552,0.007100218,152.15_-27.1
238,152.15,-27.05,27.48250179,0.007103318,152.15_-27.05
239,152.15,-27,27.49447723,0.007106413,152.15_-27
240,152.15,-26.95,27.50643184,0.007109503,152.15_-26.95
241,152.15,-26.9,27.51836561,0.007112588,152.15_-26.9
242,152.15,-26.85,27.53027852,0.007115667,152.15_-26.85
243,152.15,-26.8,27.54217058,0.007118741,152.15_-26.8
244,152.15,-26.75,27.55404177,0.007121809,152.15_-26.75
245,152.15,-26.7,27.56589208,0.007124872,152.15_-26.7
246,152.15,-26.65,26.93614647,0.006962103,152.15_-26.65
247,152.15,-26.6,22.21374207,0.005741518,152.15_-26.6
248,152.15,-26.55,24.24635425,0.006266881,152.15_-26.55
249,152.15,-26.5,22.23476642,0.005746952,152.15_-26.5
250,152.15,-26.45,0.018484865,4.77773E-06,152.15_-26.45
255,152.2,-27.25,7.162442041,0.001851254,152.2_-27.25
256,152.2,-27.2,26.10822816,0.006748114,152.2_-27.2
257,152.2,-27.15,27.45848842,0.007097112,152.2_-27.15
258,152.2,-27.1,27.47050552,0.007100218,152.2_-27.1
259,152.2,-27.05,27.48250179,0.007103318,152.2_-27.05
260,152.2,-27,27.49447723,0.007106413,152.2_-27
261,152.2,-26.95,27.50643184,0.007109503,152.2_-26.95
262,152.2,-26.9,27.51836561,0.007112588,152.2_-26.9
263,152.2,-26.85,27.53027852,0.007115667,152.2_-26.85
264,152.2,-26.8,27.54217058,0.007118741,152.2_-26.8
265,152.2,-26.75,27.55404177,0.007121809,152.2_-26.75
266,152.2,-26.7,27.56589208,0.007124872,152.2_-26.7
267,152.2,-26.65,27.57772152,0.007127929,152.2_-26.65
268,152.2,-26.6,27.58953007,0.007130981,152.2_-26.6
269,152.2,-26.55,27.60131772,0.007134028,152.2_-26.55
270,152.2,-26.5,14.19192418,0.003668143,152.2_-26.5
277,152.25,-27.2,4.031301878,0.001041958,152.25_-27.2
278,152.25,-27.15,23.13323463,0.005979176,152.25_-27.15
279,152.25,-27.1,27.47050552,0.007100218,152.25_-27.1
280,152.25,-27.05,27.48250179,0.007103318,152.25_-27.05
281,152.25,-27,27.49447723,0.007106413,152.25_-27
282,152.25,-26.95,27.50643184,0.007109503,152.25_-26.95
283,152.25,-26.9,27.51836561,0.007112588,152.25_-26.9
284,152.25,-26.85,27.53027852,0.007115667,152.25_-26.85
285,152.25,-26.8,27.54217058,0.007118741,152.25_-26.8
286,152.25,-26.75,27.55404177,0.007121809,152.25_-26.75
287,152.25,-26.7,27.56589208,0.007124872,152.25_-26.7
288,152.25,-26.65,27.57772152,0.007127929,152.25_-26.65
289,152.25,-26.6,27.58953007,0.007130981,152.25_-26.6
290,152.25,-26.55,27.60131772,0.007134028,152.25_-26.55
291,152.25,-26.5,22.00973498,0.005688789,152.25_-26.5
292,152.25,-26.45,1.105105852,0.000285633,152.25_-26.45
299,152.3,-27.15,1.426579819,0.000368724,152.3_-27.15
300,152.3,-27.1,17.82434922,0.004607005,152.3_-27.1
301,152.3,-27.05,27.48250179,0.007103318,152.3_-27.05
302,152.3,-27,27.49447723,0.007106413,152.3_-27
303,152.3,-26.95,27.50643184,0.007109503,152.3_-26.95
304,152.3,-26.9,27.51836561,0.007112588,152.3_-26.9
305,152.3,-26.85,27.53027852,0.007115667,152.3_-26.85
306,152.3,-26.8,27.54217058,0.007118741,152.3_-26.8
307,152.3,-26.75,27.55404177,0.007121809,152.3_-26.75
308,152.3,-26.7,27.56589208,0.007124872,152.3_-26.7
309,152.3,-26.65,27.57772152,0.007127929,152.3_-26.65
310,152.3,-26.6,27.58953007,0.007130981,152.3_-26.6
311,152.3,-26.55,27.60131772,0.007134028,152.3_-26.55
312,152.3,-26.5,27.14186294,0.007015274,152.3_-26.5
313,152.3,-26.45,5.969550072,0.001542931,152.3_-26.45
321,152.35,-27.1,0.066162874,1.71009E-05,152.35_-27.1
322,152.35,-27.05,8.60962675,0.002225304,152.35_-27.05
323,152.35,-27,21.17261995,0.005472422,152.35_-27
324,152.35,-26.95,27.50643184,0.007109503,152.35_-26.95
325,152.35,-26.9,27.51836561,0.007112588,152.35_-26.9
326,152.35,-26.85,27.53027852,0.007115667,152.35_-26.85
327,152.35,-26.8,27.54217058,0.007118741,152.35_-26.8
328,152.35,-26.75,27.55404177,0.007121809,152.35_-26.75
329,152.35,-26.7,27.56589208,0.007124872,152.35_-26.7
330,152.35,-26.65,27.57772152,0.007127929,152.35_-26.65
331,152.35,-26.6,21.17122203,0.005472061,152.35_-26.6
332,152.35,-26.55,19.72389704,0.005097975,152.35_-26.55
333,152.35,-26.5,13.69230239,0.003539008,152.35_-26.5
334,152.35,-26.45,0.880171197,0.000227495,152.35_-26.45
344,152.4,-27,9.201225224,0.002378213,152.4_-27
345,152.4,-26.95,27.50643184,0.007109503,152.4_-26.95
346,152.4,-26.9,27.51836561,0.007112588,152.4_-26.9
347,152.4,-26.85,27.30174713,0.007056599,152.4_-26.85
348,152.4,-26.8,23.6846315,0.006121694,152.4_-26.8
349,152.4,-26.75,27.55404177,0.007121809,152.4_-26.75
350,152.4,-26.7,27.56589208,0.007124872,152.4_-26.7
351,152.4,-26.65,23.35070195,0.006035385,152.4_-26.65
352,152.4,-26.6,5.110482137,0.001320891,152.4_-26.6
365,152.45,-27,10.46518852,0.002704905,152.45_-27
366,152.45,-26.95,27.50643184,0.007109503,152.45_-26.95
367,152.45,-26.9,23.86822911,0.006169148,152.45_-26.9
368,152.45,-26.85,10.10896931,0.002612834,152.45_-26.85
369,152.45,-26.8,3.215470644,0.000831093,152.45_-26.8
370,152.45,-26.75,16.13662817,0.004170785,152.45_-26.75
371,152.45,-26.7,25.71441467,0.006646326,152.45_-26.7
372,152.45,-26.65,6.809176347,0.001759947,152.45_-26.65
386,152.5,-27,0.904708146,0.000233837,152.5_-27
387,152.5,-26.95,7.672145966,0.001982996,152.5_-26.95
388,152.5,-26.9,2.569055132,0.000664016,152.5_-26.9
392,152.5,-26.7,0.022538509,5.82546E-06,152.5_-26.7
